X,Y,Location_notes,Encounter_type,Date_of_observation,Comments,Review_status
-79.72521497,43.37690528,Wilmot Park,Encounter,6/12/2015,,Complete
-79.69650588,43.41559049,Woodside Dr,Encounter,6/12/2015,,Complete
-79.72484474,43.37226964,Burloak and Lakeshore,Encounter,6/12/2015,,Complete
-79.6956633,43.41556117,Sedgewick Forest Park,Encounter,6/13/2015,,Complete
-79.69547483,43.41545121,Sedgewick Forest Park,Encounter,6/9/2015,,Complete
-79.69842379,43.40938487,146 Walby Dr,Encounter,6/11/2015,,Complete
-79.69830475,43.40929634,145 Walby Dr,Encounter,6/13/2015,,Complete
-79.73953762,43.46931724,Towne Bldv and Dundas,Encounter,6/15/2015,,Complete
-79.7252672,43.37729677,Wilmot Park,Encounter,6/15/2015,,Complete
-79.69543996,43.41529779,Sedgewick Forest Park,Encounter,6/14/2015,,Complete
-79.73439633,43.38438819,Great Lakes Blvd and Rebecca,Encounter,6/15/2015,,Complete
-79.69703456,43.41898684,Rebecca and Sandwell,Encounter,6/18/2015,,Complete
-79.7223085,43.38232259,Shell Park,Encounter,6/17/2015,,Complete
-79.69523771,43.41516333,Sedgewick Forest Park,Encounter,6/13/2015,,Complete
-79.71555793,43.41414837,Seabrook Park,Encounter,6/26/2015,,Complete
-79.69849026,43.40483876,Third Line and Lakeshore,Encounter,6/28/2015,,Complete
-79.70961057,43.40899949,Sabel and Vickery,Encounter,6/28/2015,,Complete
-79.7283437,43.40093588,Valhalla Crt and Bronte,Encounter,6/29/2015,,Complete
-79.70547368,43.3981339,Marine Dr and East St,Encounter,7/1/2015,,Complete
-79.72213958,43.39758995,Bronte and Bridge Rd,Encounter,7/2/2015,,Complete
-79.7280817,43.42663321,North Service Road and Third Line,Encounter,6/2/2015,,Complete
-79.75570757,43.43028285,Devonshire and Ashmore Dr,Encounter,7/3/2015,,Complete
-79.69657007,43.41800655,276 Sandwell,Encounter,7/6/2015,,Complete
-79.70554163,43.39821202,Marine Dr and East St,Encounter,7/2/2015,,Complete
-79.71316765,43.40422787,Rebecca and Sunset,Encounter,7/6/2015,,Complete
-79.71114275,43.40784026,335 Sandlewood Dr,Encounter,7/6/2015,,Complete
-79.71213075,43.39412229,Bronte and Lakeshore,Encounter,7/7/2015,,Complete
-79.69631258,43.41523756,Sedgewick Forest Park,Encounter,7/8/2015,,Complete
-79.72495161,43.39915159,Bronte Rd,Encounter,7/8/2015,,Complete
-79.69493548,43.41688376,Sedgewick and Sandwell,Encounter,7/8/2015,,Complete
-79.7053837,43.39821234,East St and Marine,Encounter,7/9/2015,,Complete
-79.69876089,43.41726063,Library - Woodside and Rebecca,Encounter,7/9/2015,,Complete
-79.69649581,43.41546043,Woodside Dr and Sedgewick Forest,Encounter,7/9/2015,,Complete
-79.69623586,43.4155574,Sedgewick Dr and Woodside,Encounter,7/8/2015,,Complete
-79.69877306,43.41713902,Rebecca and Woodside,Encounter,7/9/2015,,Complete
-79.71418905,43.40306664,Donovan Bailey Park-2 and Rebecca St,Encounter,7/12/2015,,Complete
-79.71274704,43.41526372,Bridge Rd and Third Line,Encounter,7/11/2015,,Complete
-79.71002565,43.40246153,Donovan Bailey Park-2 and Rebecca St,Encounter,7/10/2015,,Complete
-79.70991814,43.40240834,Donovan Bailey Park-2 and Rebecca St,Encounter,7/12/2015,,Complete
-79.70977123,43.40233653,Donovan Bailey Park-2 and Rebecca St,Encounter,7/12/2015,,Complete
-79.72785306,43.40086079,Donavon Bailey Park and Bronte,Encounter,7/13/2015,,Complete
